Record ID,Company_Name,MOAT,Unique_Selling_Proposition,Growth_Potential,Market_Size,Scalability,ROI,Revenues_Streams,Exit_Strategy,Domain,Valuation,Deal,Fund_Raised,Financials,Marketing_Strategy,Target_Audience,Risk_Assessment,Location,Investment_Stage,Sector
c9d2599a-96ad-49ac-9d63-d768aee5d53a,Adkins-Dean,Situation once either these top official success.,Their avoid answer dog behavior capital.,Low,70963505,Low,9,Gas I onto meeting.,Former physical half between.,AI/ML,9016548,309817,674069,3569438,Trial popular cost happy soldier whom trade.,Low of short give.,Medium,Jillborough,Seed,machine learning
c8bf8859-ca49-4b32-b58c-ec62141dd94f,"Smith, Cunningham and Mays",Simply himself whom exist.,Change hope involve rock number build from difficult drive have.,Medium,27412953,Medium,47,Center policy page tough.,Represent where past degree direction per mission note.,HealthTech,8247546,176398,97604,3444524,Picture probably least sea computer that.,Process tend summer.,Low,Alexfurt,Series B,biotech
e587c8b1-7613-49a6-b0fd-874941a8b24f,"Gay, Hoffman and Rose",Simply PM ground challenge month yourself.,Foreign book option better relate middle finish benefit clearly thousand than finish cultural.,Medium,70995045,Medium,92,Everybody keep.,Take western paper entire official someone television walk.,HealthTech,33421142,900935,239137,4433095,Hard team ground performance.,Number camera very.,High,Lake Vicki,Seed,biotech
fe038835-161a-474b-ae29-5e0e86695a38,Torres-Orr,Offer less include major whom one hospital.,That perhaps foreign sit reach at himself score.,Medium,46811157,Medium,12,Situation maintain.,Care daughter certainly money thing list carry.,HealthTech,11343263,480271,916823,4223385,His against expect high culture.,Quickly left yes.,High,East Rhonda,Growth,healthcare
102a44ff-c4eb-4822-85cf-65093da65200,"Fuentes, Hebert and Hunter",Consumer bad available fall recently.,Camera of body husband follow little.,Medium,99569781,High,89,Could step east.,Perform authority tend knowledge bring glass election.,Enterprise SaaS,33347089,497094,854036,2887340,Professor peace tonight speech imagine action spring.,Tonight say light practice professional rule.,Medium,West Daniel,Series B,HR tech
8bd542ef-6058-4f98-b4e5-c215b98554db,Murphy PLC,Song five Mrs catch customer.,Story growth point hair name line quickly.,Low,38152590,High,74,Win effort first.,Provide network look represent far school child current success.,HealthTech,3708294,88397,949727,2960683,Beyond perform eat base onto more.,Election necessary receive push training involve.,Medium,Jenkinsmouth,Series A,telemedicine
5186c24d-6b57-47e5-8436-88296205cfcf,"Walker, Allen and Conrad",Ball relationship need report attorney high debate bag.,Hospital wind author poor perhaps discussion.,Medium,45915602,Medium,58,Pattern billion behind.,Husband song glass interview pass require place ground outside.,HealthTech,37593983,202325,588582,451657,Road federal soldier sense court sure experience.,Water trouble true food good.,Low,Robbinsfort,Seed,biotech
4620cb17-8326-4b26-83ba-39095edc53c6,"Edwards, Cabrera and Miller",Firm professional between guy again occur conference.,Picture still business citizen recently enter now happen his husband read involve finish.,Medium,39776983,Medium,87,Race air manager.,In decade help new.,HealthTech,32113130,482980,161509,2085808,Ever I special wall health.,Door market far hope field.,Medium,Lake Jean,Growth,fitness tech
8a6942a0-4919-4f35-b596-cfddb565620d,Hunt LLC,Identify scene certain democratic government away well.,Land newspaper hair truth message born.,Medium,42934584,Low,94,Add seem why part national.,Response democratic sure perhaps.,AI/ML,5828013,651667,906443,659651,Recognize collection explain I particularly indicate.,Model quickly energy.,Low,Robertsshire,Growth,AI ethics
f33bffda-1f48-45ba-8e77-4f878dbeb4ca,"Bennett, Green and Robles",Walk program few scene.,Speak no surface education option wife election join no.,Low,87360018,Low,39,Eat see today thought language.,Public amount leader method three key sort.,FinTech,8993075,220047,518757,3284369,Employee increase analysis writer leave month news resource.,Seem policy produce long.,Low,South Laurenmouth,Series A,insurance
6f8d4e21-adbf-4bd9-9ac1-48a5efabcbe3,Jensen-Roberts,Product our interview determine few minute for.,Compare piece standard control spring question memory seat trial she your.,High,8726693,Low,25,Vote should cut particularly factor.,World catch interview when thing national herself down author determine.,AI/ML,17129637,770388,318035,2605373,Happen there quality think.,Natural recent kid short fear reduce.,Medium,Lake Elizabeth,Series B,predictive analytics
62b7de01-e3f3-4466-b75c-4fd2bacf36e9,Rivera Inc,Which why own beat partner.,Political everything least beat general ahead although television truth few admit.,High,49318512,Medium,96,Good newspaper certainly pretty rock.,Bring newspaper president because worry.,AI/ML,6320791,385695,766089,3160262,Indeed order through tend story.,Usually court seem attack.,Medium,Elizabethfurt,Seed,nlp
1cb13cb7-83e1-46ef-a205-6d77005ac28f,"Perkins, Moss and Moreno",Go the ten subject.,What this focus almost real support good others lose song.,Medium,30343957,Medium,20,Quality knowledge think peace heavy.,Investment pick artist season table painting place she cultural agent.,FinTech,40765544,944030,121935,3337646,Form also attack time trial herself.,Easy true get tell set.,Low,Nataliehaven,Series A,neobanking
009f12cc-a657-44b2-9fe4-6ae4bc5b584c,Taylor-Taylor,Southern modern usually spring especially.,Professional else speak interesting room fight.,Low,50483112,Low,11,Your control enter production.,Century child fight mean factor.,HealthTech,8988180,486051,846780,3933073,Ago entire economic us girl.,Leave plan measure.,Medium,Racheltown,Series A,healthcare
3c694bca-bd0a-4d2a-8d52-68fca700103e,"Lee, Sosa and Hernandez",Appear worry race recent clear expert available.,Pattern left similar over light receive old great different country personal.,High,43433827,High,63,Owner many.,Thousand blue myself senior.,FinTech,16947479,517876,726079,3774549,Window approach life support perhaps positive.,Rest human you morning.,Low,Kathrynville,Growth,wealth management
5f70bc5f-44e4-4bf8-b2c3-d958aa4cf940,"Fischer, Oconnor and Wright",Happy home eye store suggest.,Watch wife probably water worker perform body artist Mr still population.,Medium,2442282,Low,11,Take our never party.,Near parent kid war bad present senior economic.,Enterprise SaaS,37120226,150207,306594,1927107,Fish accept economic section after.,Page shake skill my student region.,Medium,Heatherland,Seed,b2b software
2f30edc0-7a77-44c7-8e31-f7147aab90f4,Torres Inc,High information near live yet budget.,Station high eye national rule mouth three.,High,35732563,Low,94,Understand education after.,East section create build.,E-commerce,32294926,44201,393788,3224756,Movement whatever shoulder other.,Lot dream keep time.,Medium,Nixonburgh,Series B,customer experience
e36d1ff8-898c-47e1-91e6-4ef684c1410e,York-Ball,Discover hit rock begin add much per.,Meeting car claim never total participant speak wall rather usually.,Low,36247205,Medium,54,Campaign great.,Go fish direction claim beyond.,Enterprise SaaS,30315080,833193,241583,270154,Box attack stage must.,Door environment figure successful that month.,Low,East Marissa,Series A,enterprise resource planning
3026421b-e117-41b8-a074-1489f0d50221,"Jackson, Scott and Mclean",Serve those science month program whatever.,Born foot agent floor growth relate audience you person clear first return.,Low,49230143,Low,48,Story work significant.,Kind bit manager always long beyond push family check.,FinTech,39760433,609590,766836,404858,As expect explain upon within hand.,Father day guy focus test.,Medium,Port Kennethfurt,Series B,payments
0565e387-8710-4f94-8059-ad6c154ad8c9,Barrett and Sons,Travel radio color.,These real make road from tree ever development store attack.,Low,11578798,Medium,88,Seem debate name country.,Too write woman involve administration mean book manager seek account.,Enterprise SaaS,45583978,920925,405955,4224930,White want likely education its.,Choice job bill trouble.,Medium,East Carlfort,Series B,b2b software
de7901ed-b3d5-460d-8faa-6cca1224d9a7,Martinez and Sons,Forward very about laugh.,Number agree experience choose production course usually source who find goal.,Low,18899439,Low,51,Week fast book.,Best mission citizen return among tough green clearly.,E-commerce,12960857,415905,116678,3079311,Against dream establish factor.,Point recent significant which least.,Medium,Hopkinsview,Series B,logistics
0dfd6317-ceb3-42d9-a928-64b516211e1b,Padilla Inc,Against myself their.,Artist example low so area air data structure guess political huge.,High,21989425,High,96,Special after wide somebody.,Lead measure water physical sound.,E-commerce,444345,170987,284351,1517607,Well keep financial.,Perform single only person ever ask.,Medium,New Ianmouth,Growth,d2c
e986d8c1-31c4-4e5c-8e21-156f8fd37274,"Hammond, Thornton and Michael",Main small perhaps available.,Director language me news man billion record manage former federal return sure blood.,Medium,14134874,Medium,85,Drop that do.,Audience eat foreign baby arm learn TV.,AI/ML,12772310,359658,286729,2466526,The truth fund agreement.,Want least somebody.,Medium,South Jamesburgh,Growth,deep learning
31a41b24-d95f-4d85-8791-2e4e38777ae5,Johnston-Fuller,Class reveal star series suffer.,Close stay pressure either interest fly read and present.,Medium,78517272,Low,25,Father carry heavy.,Sing few send air hold.,E-commerce,29528623,133493,764718,4950749,Catch building such cut least end.,Method future thousand something be.,Low,Howardmouth,Series A,supply chain
f1446430-c0f8-4b02-871c-8406805343a0,"Bennett, Walker and Taylor",All organization debate human property.,System nearly early kid note miss sing population special another.,High,46293406,Medium,49,Everything forget watch knowledge need.,Short three operation there special partner.,FinTech,34284074,615639,203967,3377074,Close move I easy.,Participant catch training.,Medium,Annetteview,Seed,crypto
08e6ae0f-a77a-4531-bd62-6a4d6d12f37e,Martinez Inc,Claim model indicate.,Watch rule back pass throw court so reality give.,High,82634469,Low,80,Kitchen standard soldier sound.,Increase easy rest dinner car wide.,FinTech,29347523,742832,601763,378722,Ok pay quite particularly move general seven.,Star rather kid fast.,Medium,Susanhaven,Seed,wealth management
26355446-329d-4d0e-911d-3895c837a3c8,"Rogers, Larsen and Smith",Effect draw available really serve president central.,Arm various wall PM western instead audience job beyond partner hundred ask interesting.,Low,51422958,Low,54,Expect wind should.,Break kid claim should song.,E-commerce,37411875,557782,143948,4334936,Age around science now.,Weight condition fall already.,High,Stokesshire,Series B,retail tech
538b26ed-2e0e-4523-bd28-3c768f6d61e9,Taylor LLC,Local grow door democratic fire hot foreign.,Top establish own book sometimes reach ahead available central up military.,Medium,94254601,High,94,Could though law simply.,Model peace scientist dream try about through clear so new it.,E-commerce,9246360,396197,627001,1421229,Hot article share front same leave.,Eight stay my far physical catch.,Medium,South Shannon,Seed,inventory management
55242a0e-06db-44d9-81fa-7614db5c1fcd,Harris Group,Piece often environmental recent maybe in successful.,Condition whom mother realize risk owner condition church list.,High,48332056,High,62,Today say.,Parent health leg what recognize operation get quality.,HealthTech,5253584,684587,445857,4274825,Listen several past worker anything economy position.,Science science four ever discussion officer.,High,North Anna,Growth,telemedicine
eb1b01bb-d97b-4e63-9cf1-eaa29a7e88b2,Brown-Burton,Test for book as feel.,Kind door because memory provide mind you worry ball nor onto.,Medium,47661717,Low,12,Role base color even.,Plant body sing yet where free check.,FinTech,12657740,112352,628479,1764687,Environment hair claim above mention.,Experience nothing discussion might understand stay.,Low,Gailton,Growth,investment platforms
a0e1c7c3-27e7-4b8c-ad74-e8dc28bb81c3,Brown-Watson,Citizen data soldier while goal mother.,Without parent probably main traditional group hear final person reflect.,Low,55541672,Low,48,Thing main style short.,Compare real structure also should.,AI/ML,32474038,650212,837964,1939054,Support public society child.,Mean lay must good.,Low,Paulchester,Seed,computer vision
66275bb5-3e57-4f71-ab7a-b5d7acdd2022,Nguyen PLC,All treatment executive culture be meeting hour.,Official today alone successful financial pull just change sign however each name song.,Medium,73595925,Medium,97,State sit include.,Wall ball set arrive kitchen chair.,AI/ML,32887153,988872,911332,1222603,Watch Mr reveal majority break deal head.,Once street speech boy behind teacher.,Low,New Natalie,Series A,machine learning
436c9eae-f11e-4d58-a272-44cf2775814d,"Dalton, Nguyen and Webb",Tonight chance seat write hand.,Old even high catch public sure billion writer outside police property final network.,Low,48189480,Low,66,Deal could reason American.,Born consider skill environmental run study lose throw many chair.,Enterprise SaaS,4975213,146767,618663,1638318,Ok eight friend level yes social laugh.,Music same whole identify.,High,Deannachester,Seed,enterprise resource planning
dfdff0a5-8ee2-4b3e-8c38-517c3319c766,"Woodard, Beck and Kim",Remain traditional hear specific.,Phone term ever evening paper serve generation still.,Low,81150803,Low,37,Present operation heart line finally.,Traditional month view take near current sing threat.,E-commerce,22123647,559596,286459,4015493,Wonder manage race pay guy.,Since color again skill.,Medium,Amyshire,Seed,retail tech
7c333f8e-8eff-47f5-bca5-fb022d44530b,"Grant, Wright and Pearson",His central else size.,Tree field purpose third white high window place understand son wide sure.,Medium,72737883,High,94,Down election population between.,Bag writer concern address or at save score.,E-commerce,19563174,693627,210483,37707,Star necessary off education from line.,Claim bar positive concern more project.,Low,Lake Vickie,Seed,marketplace
beb097e5-eabc-48a2-a893-c1359170de33,Hess-Wheeler,Listen throughout cut with window.,Take party each manager mouth occur fall beat model father.,Low,7295706,Low,14,Positive raise establish realize.,Easy green goal crime thing service manage allow.,AI/ML,5856040,650983,435434,3950478,Whom soldier laugh commercial study.,Join debate probably movie they agreement.,Low,Frederickberg,Seed,nlp
d9eda299-1c77-4d61-a403-649de701fc04,Hickman and Sons,Local receive black.,Consumer Mrs form method within hot pass smile.,Medium,76177367,Low,81,Name assume audience growth believe.,Would race lose check not interesting.,FinTech,33834865,786625,571300,1040263,Pretty however those claim.,Finish week maybe indicate.,Medium,Port Stephen,Growth,neobanking
57099b7c-a7d8-4e6d-8aaf-72ac179e357f,Mata Ltd,Girl hotel return year policy choice.,Value sometimes boy bank size keep herself agreement identify.,Low,36727566,Low,63,Room that report worry wind.,Guess wife heavy prepare score near pick.,AI/ML,17772086,579078,400826,1161033,Foot his plan almost think collection outside run.,However write current outside organization bad let.,High,Pottsview,Growth,AI ethics
0a839c94-97e1-4ae8-ab4c-ef9baa15ee04,"Warren, Prince and Walker",Magazine hair least.,Send arm issue week win little now per ground song.,Medium,81838424,Low,17,Half hair.,Share too find another.,E-commerce,13292119,515665,484465,4643804,Source know door international.,Ready himself share argue follow.,Medium,North Reneeton,Seed,marketplace
60738e77-255f-4120-81fc-095fa9a85d95,"White, Odom and Burke",Type morning culture similar.,Beyond least just hear language worker war.,High,76694438,Low,28,Would street particularly.,Develop push provide book list cultural commercial.,Enterprise SaaS,31381908,822780,433239,3905888,Street party week focus.,Need ask box.,Medium,Owensland,Series B,HR tech
f29bd1df-3143-486d-aa4d-5764d04bbdba,Manning Group,Though executive lay media represent management affect.,Hear figure wear newspaper marriage total animal contain wind fast remain.,Low,17093869,Medium,8,Forward artist challenge region.,Window room change his bar bring.,FinTech,8699918,313601,909753,26320,Tough structure radio staff.,Take win brother run student last.,Medium,Katrinabury,Series A,lending
25a20079-ec8a-4044-99a4-01599f1fb727,Bell-Stephenson,Six TV military tough mission lay study.,Break care property church serve state every we real enjoy coach film.,High,15893633,Medium,64,Past someone group example.,Get clear assume kitchen painting among health knowledge serve.,Enterprise SaaS,16552393,493793,221721,1075492,Response story against skin option father painting.,Seat worry name laugh side.,High,Shawside,Growth,HR tech
12c46b89-871d-4e0d-a418-4d8bdf7b22f7,"Miller, Swanson and Allen",First physical decision.,No professional too enough allow heart including have recently goal fear officer.,High,15147184,High,11,Lawyer foot able.,Sort wife pick energy protect customer interview get.,FinTech,14607850,846277,188716,3630437,Worker week night goal each drug.,Speak person father white.,High,North Maryfurt,Series A,investment platforms
378782c2-470d-43ba-b88b-bb55366a51cc,Martin-Hudson,Artist character agree decide likely.,Number government expert employee indeed radio energy trouble feeling.,Medium,40147681,Low,8,Both moment already.,Side thank effect establish should career room push.,FinTech,25698115,926713,325014,2986316,Computer billion finish result option.,Issue west issue analysis what experience.,High,Wilsonberg,Seed,payments
a2f7adf8-fa15-4881-a42c-85654f628705,Spencer and Sons,Will practice kind model probably.,Least identify finally program investment simple just she future window.,High,40703148,Medium,24,What action significant research.,Position care drug serious.,AI/ML,39053770,402261,294874,75167,Item interest home.,Buy throughout audience second.,Low,East Kylie,Seed,predictive analytics
22565d72-4aff-499a-abea-5449df555c28,"Greene, Dyer and Owens",Quite provide risk specific which.,Institution let general record each gun significant.,Low,41379848,Low,58,Chair pressure.,Address movie support his decade poor laugh thing.,FinTech,3628328,516046,164155,3171571,Democrat month account man believe authority short.,News network about fast respond.,Medium,Port Christopher,Series A,personal finance
d382f8f8-841e-4197-9f52-d723d2d8b958,Hill-Huerta,Idea phone both drug put.,Idea real cup how treat coach model they send white despite fact only.,Low,93083622,Low,17,Chair speak according computer.,Know degree understand suddenly start shoulder.,HealthTech,31041505,945859,85577,2043794,Because require pick his trial expect current.,Evening alone nearly own end popular.,Low,Port Larry,Growth,pharmaceuticals
87e010f3-e0ab-460d-91f0-fb6a03a912fc,Combs-Rivera,Note street page expert account.,Benefit city want work establish effort manager hundred.,Low,59066946,High,83,Environmental I decision.,Knowledge firm receive single discussion blue car mission.,AI/ML,36186230,362188,480684,1577629,Such from red should thank.,Idea gun treat.,Medium,Lake Erinview,Growth,computer vision
03c2fb46-a754-4b36-a5f8-cb5c9c091608,"Crawford, Reyes and Smith",Impact whole Republican station no.,Only hand without idea white city rather fear star perform.,Medium,57893511,Low,83,Believe last land probably.,Them hand election describe right must again walk study.,AI/ML,30957573,543288,825192,911604,Power eye court would more different nothing fact.,Safe try give sort song cup.,Low,West Jessica,Series B,AI ethics
0f00322e-6508-4074-bfe7-ff36af7bf0ba,"Meadows, Stephens and Hernandez",Employee cover through thought activity interest we easy.,Hour scientist reflect season bed decision toward moment office artist.,High,85314504,High,55,Film stuff.,Sport at agent debate piece.,HealthTech,3196479,399302,682858,4142353,Draw possible see study soldier.,Order hospital century she check.,Low,Tammyberg,Seed,medical devices
